Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Phases,Funded Bys,Study Type,Start Date,Completion Date,URL
11,THE EFFECT OF CYP3A5 GENOTYPE ON THE PHARMACOKINETICS OF MARAVIROC,Completed,Has Results,Healthy Subjects,Drug: Maraviroc (Part 1)|Drug: Maraviroc (Part 2)|Drug: Darunavir/cobicistat (Part 2),ViiV Healthcare|Pfizer,ViiV Healthcare,Pfizer,,,,,,Phase 1,Industry,Interventional,11/6/2015,3/26/2016,https://ClinicalTrials.gov/show/NCT02625207
12,Product Evaluation for the Effectiveness of the ClearGuard™ HD End Cap,Completed,Has Results,End Stage Renal Disease (ESRD),Device: ClearGuard HD end cap,"Pursuit Vascular, Inc.|Fresenius Medical Care North America","Pursuit Vascular, Inc.",Fresenius Medical Care North America,,,,,,Not Applicable,Industry,Interventional,12/14/2019,11/15/2019,https://ClinicalTrials.gov/show/NCT02604264
13,Product Evaluation for the Effectiveness of the ClearGuard® HD End Cap,Completed,Has Results,End Stage Renal Disease (ESRD),Device: ClearGuard HD End Cap,"Pursuit Vascular, Inc.|Davita Clinical Research","Pursuit Vascular, Inc.",Davita Clinical Research,,,,,,Not Applicable,Industry,Interventional,11/15/2019,11/16/2019,https://ClinicalTrials.gov/show/NCT02593149
14,A Drug-drug Interaction Study of Lanabecestat (LY3314814) in Healthy Participants,Completed,Has Results,Healthy,Drug: Lanabecestat|Drug: Dabigatran etexilate,Eli Lilly and Company|AstraZeneca,Eli Lilly and Company,AstraZeneca,,,,,,Phase 1,Industry,Interventional,10/15/2019,1/16/2019,https://ClinicalTrials.gov/show/NCT02568397
15,A Drug Interaction Study of Lanabecestat (LY3314814) and Warfarin in Healthy Participants,Completed,Has Results,Healthy,Drug: Lanabecestat|Drug: Warfarin,Eli Lilly and Company|AstraZeneca,Eli Lilly and Company,AstraZeneca,,,,,,Phase 1,Industry,Interventional,9/15/2019,1/16/2019,https://ClinicalTrials.gov/show/NCT02540668
16,"Safety Study of DWP-450 (Botulinum Toxin, Type a) to Treat Glabellar Lines - EV-006",Completed,Has Results,Glabellar Frown Lines,"Biological: DWP-450 (Botulinum purified neurotoxin, Type A)","Evolus, Inc.|PPD","Evolus, Inc.",PPD,,,,,,Phase 2,Industry,Interventional,5/15/2019,11/16/2019,https://ClinicalTrials.gov/show/NCT02428608
17,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV-002,Completed,Has Results,Glabellar Frown Lines,"Biological: Botulinum toxin, Type A|Other: 0.9% sterile, unpreserved saline","Evolus, Inc.|PPD","Evolus, Inc.",PPD,,,,,,Phase 3,Industry,Interventional,1/15/2019,12/15/2019,https://ClinicalTrials.gov/show/NCT02334436
18,A Phase III Study to Demonstrate the Safety and Efficacy of DWP-450 to Treat Glabellar Lines - EV001,Completed,Has Results,Glabellar Frown Lines,"Biological: Botulinum toxin, Type A|Other: 0.9% sterile, unpreserved saline","Evolus, Inc.|PPD","Evolus, Inc.",PPD,,,,,,Phase 3,Industry,Interventional,1/15/2019,12/15/2019,https://ClinicalTrials.gov/show/NCT02334423
19,An RCT Comparing Xenograft and Allograft for Ridge Preservation,Completed,Has Results,Tooth Loss,Device: allograft + x-link collagen membrane|Device: xenograft + non-x-link collagen,McGuire Institute|Geistlich Pharma AG,McGuire Institute,Geistlich Pharma AG,,,,,,Not Applicable,Industry,Interventional,4/14/2019,12/15/2019,https://ClinicalTrials.gov/show/NCT02330523
20,Safety of NStride Autologous Protein Solution in the Treatment of Knee Osteoarthritis (PROGRESS I),Completed,Has Results,"Osteoarthritis, Knee",Biological: APS,"Zimmer Biomet|Biomet Biologics, LLC",Zimmer Biomet,"Biomet Biologics, LLC",,,,,,Phase 1,Industry,Interventional,11/14/2019,10/16/2019,https://ClinicalTrials.gov/show/NCT02262364
21,Monotherapy Brexpiprazole (OPC-34712) Trial in the Treatment of Adults With Schizophrenia With Impulsivity,Completed,Has Results,Schizophrenia With Impulsivity,Drug: Brexpiprazole,"Otsuka Pharmaceutical Development & Commercialization, Inc.|Otsuka Pharmaceutical Co., Ltd.","Otsuka Pharmaceutical Development & Commercialization, Inc.","Otsuka Pharmaceutical Co., Ltd.",,,,,,Phase 3,Industry,Interventional,2/15/2019,4/16/2019,https://ClinicalTrials.gov/show/NCT02194933
22,Ascertainment of EMR-based Clinical Covariates Among Patients Receiving Oral and Non-insulin Injected Hypoglycemic Therapy,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: linagliptin,Boehringer Ingelheim|Eli Lilly and Company,Boehringer Ingelheim,Eli Lilly and Company,,,,,,,Industry,Observational,5/14/2019,3/15/2019,https://ClinicalTrials.gov/show/NCT02140645
23,Oral and Non-insulin Injected Hypoglycemic Therapy Utilization Patterns,Completed,Has Results,"Diabetes Mellitus, Type 2",,Boehringer Ingelheim|Eli Lilly and Company,Boehringer Ingelheim,Eli Lilly and Company,,,,,,,Industry,Observational,5/14/2019,8/14/2019,https://ClinicalTrials.gov/show/NCT02138097
24,Non-Inferiority Study Comparing 3 Weekly Injections of SUPARTZ® vs 3 Weekly Injections of Euflexxa® for Knee OA,Completed,Has Results,Osteoarthritis,Device: Supartz|Device: Euflexxa,Bioventus LLC|Seikagaku Corporation,Bioventus LLC,Seikagaku Corporation,,,,,,Phase 3,Industry,Interventional,3/14/2019,2/15/2019,https://ClinicalTrials.gov/show/NCT02110238
25,Relative Bioavailability of 2 Fixed Dose Combinations of Empagliflozin/Metformin Extended Release (XR) Compared With Single Tablets,Completed,Has Results,Healthy,Drug: 1 tablet Empagliflozin/2 tablets Metformin XR|Drug: 10 mg Empagliflozin/1000 mg Metformin XR|Drug: 1 tablet 10 mg Empagliflozin/3 tablets Metformin XR|Drug: 2 tablets 5 mg Empagliflozin/750 Metformin XR,Boehringer Ingelheim|Eli Lilly and Company,Boehringer Ingelheim,Eli Lilly and Company,,,,,,Phase 1,Industry,Interventional,4/14/2019,7/14/2019,https://ClinicalTrials.gov/show/NCT02106923
26,Demonstrate Noninferiority in Efficacy and to Assess Safety of CT-P13 in Patients With Active Crohn's Disease,Completed,Has Results,Crohn's Disease,Biological: CT-P13|Biological: Remicade,Celltrion|Pfizer,Celltrion,Pfizer,,,,,,Phase 3,Industry,Interventional,9/19/2014,2/15/2017,https://ClinicalTrials.gov/show/NCT02096861
27,"A Prospective, Randomized, Double-blind, Placebo Controlled Study to Assess the Impact of ORMD-0801 (Insulin Capsules) on the Exogenous Insulin Requirements of Type 1 Diabetics",Completed,Has Results,Diabetes Mellitus Type 1,Biological: ORMD-0801 Capsules|Other: Placebo,"Oramed, Ltd.|Integrium","Oramed, Ltd.",Integrium,,,,,,Phase 2,Industry,Interventional,3/14/2019,10/14/2019,https://ClinicalTrials.gov/show/NCT02094534
28,Study to Evaluate the Interaction Potential of Clarithromycin XL on Diltiazem Hydrochloride Cream 2% in Healthy Subjects,Completed,Has Results,CLARITHROMYCIN/DILTIAZEM [VA Drug Interaction],Drug: Clarithromycin XL|Drug: 2% Diltiazem,"Ventrus Biosciences, Inc|TKL Research, Inc.","Ventrus Biosciences, Inc","TKL Research, Inc.",,,,,,Phase 1,Industry,Interventional,9/13/2019,10/13/2019,https://ClinicalTrials.gov/show/NCT02080780
29,Phase 2/3 Study Evaluating Efficacy and Safety of OTX-DP for Treatment of Chronic Allergic Conjunctivitis,Completed,Has Results,Allergic Conjunctivitis,Drug: OTX-DP treatment|Device: Placebo Plug with no drug,"Ocular Therapeutix, Inc.|ORA, Inc.","Ocular Therapeutix, Inc.","ORA, Inc.",,,,,,Phase 2,Industry,Interventional,3/14/2019,11/14/2019,https://ClinicalTrials.gov/show/NCT02062905
30,Phase 1 Oral Solution and Crushed Tablet Relative Bioavailability Study of Apixaban When Administered Through a Nasogastric Tube in Healthy Subjects,Completed,Has Results,Healthy Subjects,Drug: Apixaban|Dietary Supplement: Boost Plus,Bristol-Myers Squibb|Pfizer,Bristol-Myers Squibb,Pfizer,,,,,,Phase 1,Industry,Interventional,10/11/2019,11/11/2019,https://ClinicalTrials.gov/show/NCT02034591
31,Phase 1 Oral Solution Bioavailability Study of Apixaban When Administered Through a Nasogastric Tube in Healthy Subjects,Completed,Has Results,Healthy Volunteers,Drug: Apixaban,Bristol-Myers Squibb|Pfizer,Bristol-Myers Squibb,Pfizer,,,,,,Phase 1,Industry,Interventional,7/11/2019,8/11/2019,https://ClinicalTrials.gov/show/NCT02034578
32,Phase 1 Bioavailability Study of Apixaban Solution Formulation Relative to Apixaban Tablets in Healthy Subjects,Completed,Has Results,Healthy Volunteers,Drug: Apixaban,Bristol-Myers Squibb|Pfizer,Bristol-Myers Squibb,Pfizer,,,,,,Phase 1,Industry,Interventional,2/10/2019,3/10/2019,https://ClinicalTrials.gov/show/NCT02034565
33,A Pilot Study to Assess the DynaSense System,Completed,Has Results,Pressure Ulcers,Device: DynaSense sensor,"Leaf Healthcare, Inc.|Centauri Medical, Inc.","Leaf Healthcare, Inc.","Centauri Medical, Inc.",,,,,,Not Applicable,Industry,Interventional,12/13/2019,2/14/2019,https://ClinicalTrials.gov/show/NCT02005692
34,Relative Bioavailability of 2 Fixed Dose Combinations of Empagliflozin/Metformin Compared With Single Tablets,Completed,Has Results,Healthy,"Drug: Empagliflozin/Metformin XR, FDC|Drug: Empagliflozin/Metformin XR FDC|Drug: 25 mg Empagliflozin/1000 mg Metformin XR, FDC|Drug: 1 tablet Empagliflozin/2 tablets Metformin XR|Drug: 1 tablet Empagliflozin/3 tablets Metformin XR",Boehringer Ingelheim|Eli Lilly and Company,Boehringer Ingelheim,Eli Lilly and Company,,,,,,Phase 1,Industry,Interventional,10/13/2019,12/13/2019,https://ClinicalTrials.gov/show/NCT01975220
35,Aripiprazole Once-monthly in Patients With Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Aripiprazole once-monthly,"H. Lundbeck A/S|Otsuka Pharmaceutical Co., Ltd.",H. Lundbeck A/S,"Otsuka Pharmaceutical Co., Ltd.",,,,,,Phase 3,Industry,Interventional,10/13/2019,3/15/2019,https://ClinicalTrials.gov/show/NCT01959035
36,"Safety, Pharmacokinetics (PK) and Pharmacodynamics (PD) of Multiple Oral Bedtime Doses of ORMD-0801 in Adult Patients With Type 2 Diabetes Mellitus (T2DM)",Completed,Has Results,Diabetes Mellitus Type 2,Drug: ORMD-0801 Dose # 1|Drug: ORMD-0801 Dose # 2|Drug: Placebo,"Oramed, Ltd.|Integrium","Oramed, Ltd.",Integrium,,,,,,Phase 2,Industry,Interventional,6/13/2019,11/13/2019,https://ClinicalTrials.gov/show/NCT01889667
37,Effect of Empagliflozin Kinetics on Renal Glucose Reabsorption in Patients With Type II Diabetes and Healthy Controls,Completed,Has Results,"Diabetes Mellitus, Type 2|Healthy",Drug: Empagliflozin|Drug: BI 10773,Boehringer Ingelheim|Eli Lilly and Company,Boehringer Ingelheim,Eli Lilly and Company,,,,,,Phase 2,Industry,Interventional,6/13/2019,10/15/2019,https://ClinicalTrials.gov/show/NCT01867307
38,Feasibility Study of the Xoft® Axxent® Electronic Brachytherapy System for the Treatment of Cervical Cancer,Completed,Has Results,Cervical Cancer,Device: Treatment with Electronic Brachytherapy,"Xoft, Inc.|Icad, Inc.","Xoft, Inc.","Icad, Inc.",,,,,,Not Applicable,Industry,Interventional,11/13/2019,6/15/2019,https://ClinicalTrials.gov/show/NCT01851772
39,Relative Bioavailability of 2 Fixed Dose Combinations of Linagliptin/Metformin Compared With Single Tablets,Completed,Has Results,Healthy,Drug: 2x500 mg Metformin (Glumetza)|Drug: 5 mg Linagliptin/1000 mg Metformin FDC|Drug: 5 mg Linagliptin (Tradjenta)|Drug: 3x500 mg Metformin (Glumetza)|Drug: 2 x 500 mg Metformin (Glumetza)|Drug: 5 mg Linagliptin/1000mg Metformin FDC|Drug: 2 x 2.5 mg Linagliptin/750 mg Metformin FDC,Boehringer Ingelheim|Eli Lilly and Company,Boehringer Ingelheim,Eli Lilly and Company,,,,,,Phase 1,Industry,Interventional,5/13/2019,8/13/2019,https://ClinicalTrials.gov/show/NCT01845077
40,Brexpiprazole in Patients With Acute Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Placebo|Drug: Brexpiprazole|Drug: Quetiapine extended release,"H. Lundbeck A/S|Otsuka Pharmaceutical Co., Ltd.",H. Lundbeck A/S,"Otsuka Pharmaceutical Co., Ltd.",,,,,,Phase 3,Industry,Interventional,3/13/2019,12/14/2019,https://ClinicalTrials.gov/show/NCT01810380
41,Synera Venipuncture Pain,Completed,Has Results,Pain|Phlebotomy|Palliative Care,Drug: Synera (lidocaine 70mg/tetracaine 70mg),US Oncology Research|Nuvo Research Inc.,US Oncology Research,Nuvo Research Inc.,,,,,,Phase 2,Industry,Interventional,1/13/2019,11/13/2019,https://ClinicalTrials.gov/show/NCT01744197
42,"Pharmacokinetic, Efficacy and Safety Study of Tapentadol Oral Solution in Children With Postoperative Pain",Completed,Has Results,Postoperative Pain|Acute Pain,Drug: Tapentadol,"Grünenthal GmbH|Janssen Research & Development, LLC",Grünenthal GmbH,"Janssen Research & Development, LLC",,,,,,Phase 2,Industry,Interventional,11/12/2019,2/14/2019,https://ClinicalTrials.gov/show/NCT01729728
43,Dose-Escalate Study to Investigate the Safety and Tolerability of T89 in Japanese,Completed,Has Results,Healthy,Drug: T89 Group A|Drug: Placebo Group A|Drug: Placebo Group B|Drug: T89 Group B|Drug: Placebo Group C|Drug: T89 Group C,"Tasly Pharmaceuticals, Inc.|Parexel","Tasly Pharmaceuticals, Inc.",Parexel,,,,,,Phase 1,Industry,Interventional,8/12/2019,2/13/2019,https://ClinicalTrials.gov/show/NCT01679028
44,A Study to Determine Safety and Tolerability of Enzalutamide (MDV3100) in Combination With Abiraterone Acetate in Bone Metastatic Castration-Resistant Prostate Cancer Patients,Completed,Has Results,Metastatic Castration-Resistant Prostate Cancer,Drug: enzalutamide|Drug: abiraterone acetate|Drug: prednisone,"Astellas Pharma Global Development, Inc.|Medivation LLC, a wholly owned subsidiary of Pfizer Inc.|Astellas Pharma Inc","Astellas Pharma Global Development, Inc.","Medivation LLC, a wholly owned subsidiary of Pfizer Inc.",Astellas Pharma Inc,,,,,Phase 2,Industry,Interventional,7/9/2012,1/4/2018,https://ClinicalTrials.gov/show/NCT01650194
45,A Study of Prasugrel in Healthy Participants,Completed,Has Results,Healthy Volunteers,Drug: Prasugrel ODT1 - Tablet|Drug: Prasugrel ODT2 - Tablet|Drug: Prasugrel ODT2 - Suspension,"Eli Lilly and Company|Daiichi Sankyo, Inc.",Eli Lilly and Company,"Daiichi Sankyo, Inc.",,,,,,Phase 1,Industry,Interventional,7/12/2019,8/12/2019,https://ClinicalTrials.gov/show/NCT01648790
46,A Study of LY3009104 in Healthy Participants,Completed,Has Results,Healthy Participants,Drug: LY3009104|Drug: Placebo|Drug: moxifloxacin,Eli Lilly and Company|Incyte Corporation,Eli Lilly and Company,Incyte Corporation,,,,,,Phase 1,Industry,Interventional,2/12/2019,5/13/2019,https://ClinicalTrials.gov/show/NCT01536951
47,Encore Revelation Hip Stem,Completed,Has Results,"Osteoarthritis, Hip|Complications; Arthroplasty",Device: Revelation Hip Stem (Revelation),"Encore Medical, L.P.|DJO Incorporated","Encore Medical, L.P.",DJO Incorporated,,,,,,,Industry,Observational,2/12/2019,7/12/2019,https://ClinicalTrials.gov/show/NCT01514318
48,Study of a Topical Nasal Spray to Ease the Symptoms of Hayfever,Completed,Has Results,"Rhinitis, Allergic, Seasonal",Device: C-1266-7|Device: C-1266-6 (placebo),"McNeil Consumer Healthcare Division of McNEIL-PPC, Inc.|Johnson & Johnson Consumer and Personal Products Worldwide","McNeil Consumer Healthcare Division of McNEIL-PPC, Inc.",Johnson & Johnson Consumer and Personal Products Worldwide,,,,,,Early Phase 1,Industry,Interventional,1/12/2019,12/12/2019,https://ClinicalTrials.gov/show/NCT01500629
49,Comparative Study in the Efficacy of Topical Besifloxocin With Erythromycin for the Management of Acute Blepharitis,Completed,Has Results,Blepharitis,Drug: Erythromycin|Drug: Besifloxocin,"John, George, M.D.|Bausch & Lomb Incorporated","John, George, M.D.",Bausch & Lomb Incorporated,,,,,,Phase 4,Industry,Interventional,8/11/2019,10/11/2019,https://ClinicalTrials.gov/show/NCT01478256
50,Comparing Patient Comfort and Safety Between Iodixanol and Iopamidol in Patients Undergoing Peripheral Arteriography,Completed,Has Results,Drug Safety,Drug: Iodixanol|Drug: Iopamidol,GE Healthcare|i3 Statprobe,GE Healthcare,i3 Statprobe,,,,,,Phase 4,Industry,Interventional,10/11/2019,2/13/2019,https://ClinicalTrials.gov/show/NCT01475097
51,Iodixanol Versus Iopamidol in Patients Undergoing Contrast-Enhanced Computed Tomographic Imaging of Abdomen/Pelvis,Completed,Has Results,Patient Comfort and Safety,Drug: Iodixanol|Drug: Iopamidol,GE Healthcare|i3 Statprobe,GE Healthcare,i3 Statprobe,,,,,,Phase 4,Industry,Interventional,5/11/2019,2/12/2019,https://ClinicalTrials.gov/show/NCT01376089
52,HeRO Graft Compared to Permanent Catheters for End Stage Renal Disease (ESRD) Patients Receiving Hemodialysis,Completed,Has Results,End Stage Renal Disease (ESRD),,"Merit Medical Systems, Inc.|CryoLife, Inc.","Merit Medical Systems, Inc.","CryoLife, Inc.",,,,,,,Industry,Observational,1/11/2019,12/13/2019,https://ClinicalTrials.gov/show/NCT01343251
53,Compare Effect of Surgical Antiseptic Preparations on Incise Drape Adhesion to Skin,Completed,Has Results,Healthy,Drug: ChloraPrep|Drug: DuraPrep,3M|Cyberderm Inc.,3M,Cyberderm Inc.,,,,,,Phase 4,Industry,Interventional,2/10/2019,3/10/2019,https://ClinicalTrials.gov/show/NCT01290978
54,"QT Intervals Study to Compare the Acute Effects of Orally Inhaled Dihydroergotamine (DHE), Oral Moxifloxacin, and Placebo",Completed,Has Results,Healthy,Drug: MAP0004|Drug: Inhaler Placebo|Drug: Moxifloxacin|Drug: Placebo Capsule,"Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan",Allergan,"MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan",,,,,,Phase 1,Industry,Interventional,8/10/2019,9/10/2019,https://ClinicalTrials.gov/show/NCT01191723
55,BGS649 Monotherapy in Moderate to Severe Endometriosis Patients,Completed,Has Results,Endometriosis,Drug: BGS649|Drug: Placebo,Mereo BioPharma|Novartis,Mereo BioPharma,Novartis,,,,,,Phase 2,Industry,Interventional,7/10/2019,9/11/2019,https://ClinicalTrials.gov/show/NCT01190475
56,Clinical Outcomes After Bowel Resection in Patients Receiving Alvimopan Versus Patients Not Receiving Alvimopan in the Premier Perspective Database,Completed,Has Results,Ileus,Drug: Alvimopan,Cubist Pharmaceuticals LLC|GlaxoSmithKline,Cubist Pharmaceuticals LLC,GlaxoSmithKline,,,,,,,Industry,Observational,4/10/2019,8/10/2019,https://ClinicalTrials.gov/show/NCT01150760
57,Pharmacodynamic Study to Compare Acute Effects of Dihydroergotamine Mesylate (DHE) on Pulmonary Arterial Pressure,Completed,Has Results,Healthy,Drug: MAP0004|Drug: IV Placebo (Saline)|Drug: Placebo Inhaler|Drug: IV Dihydroergotamine Mesylate (DHE),"Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan",Allergan,"MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan",,,,,,Phase 1,Industry,Interventional,3/10/2019,12/10/2019,https://ClinicalTrials.gov/show/NCT01089062
58,PET Imaging of Brain Amyloid in Normal Pressure Hydrocephalus,Completed,Has Results,Normal Pressure Hydrocephalus,Drug: [18F] Flutemetamol,GE Healthcare|i3 Statprobe,GE Healthcare,i3 Statprobe,,,,,,Phase 3,Industry,Interventional,12/9/2019,8/10/2019,https://ClinicalTrials.gov/show/NCT01053312
59,Study of the Relative Abuse Potential of Acurox Tablets in Non-Dependent Recreational Opioid Users,Completed,Has Results,Opioid Abuse,Drug: 40/0mg taken first|Drug: 80/0mg taken first|Drug: 40/240mg taken first|Drug: 80/480mg taken first|Drug: 0/0mg taken first,Acura Pharmaceuticals Inc.|King Pharmaceuticals is now a wholly owned subsidiary of Pfizer,Acura Pharmaceuticals Inc.,King Pharmaceuticals is now a wholly owned subsidiary of Pfizer,,,,,,Phase 2,Industry,Interventional,1/10/2019,2/10/2019,https://ClinicalTrials.gov/show/NCT01030406
60,Compare the Tolerance of Clindamycin 1% /Benzoyl Peroxide (BPO) 5% Gel to Clindamycin 1.2%/ BPO 2.5% Topical Medications,Completed,Has Results,Acne Vulgaris,Drug: Clindamycin and BPO 5% gel|Drug: Clindamycin phosphate and benzoyl peroxide 2.5% gel.,"Stiefel, a GSK Company|GlaxoSmithKline","Stiefel, a GSK Company",GlaxoSmithKline,,,,,,Phase 4,Industry,Interventional,8/9/2019,9/9/2019,https://ClinicalTrials.gov/show/NCT01015638
61,"First-in-Man, Dose-escalation Trial of C-met Kinase Inhibitor MSC2156119J in Subjects With Advanced Solid Tumors",Completed,Has Results,"Patients With Solid Tumors, Either Refractory to Standard Therapy or for Which no Effective Standard Therapy is Available",Drug: MSC2156119J,"EMD Serono|Merck KGaA, Darmstadt, Germany",EMD Serono,"Merck KGaA, Darmstadt, Germany",,,,,,Phase 1,Industry,Interventional,11/30/2009,10/31/2015,https://ClinicalTrials.gov/show/NCT01014936
62,Study to Determine and Compare the Tolerance and Irritation Potential of Topical Acne Medications,Completed,Has Results,Acne Vulgaris,Drug: clindamycin and benzoyl peroxide|Drug: Dapsone gel,"Stiefel, a GSK Company|GlaxoSmithKline","Stiefel, a GSK Company",GlaxoSmithKline,,,,,,Phase 4,Industry,Interventional,7/9/2019,8/9/2019,https://ClinicalTrials.gov/show/NCT00964366
63,Two-week Study to Compare the Tolerance and Irritation Potential of Two Combination Topical Gel Acne Medications,Completed,Has Results,Acne Vulgaris,Drug: Clindamycin and benzoyl peroxide|Drug: benzoyl peroxide 2.5% and adapalene 0.1% gel,"Stiefel, a GSK Company|GlaxoSmithKline","Stiefel, a GSK Company",GlaxoSmithKline,,,,,,Phase 4,Industry,Interventional,5/9/2019,7/9/2019,https://ClinicalTrials.gov/show/NCT00926367
64,Post-marketing Safety Study in Patients With Moderate Renal Insufficiency Who Receive Omniscan for Contrast-enhanced Magnetic Resonance Imaging (MRI),Completed,Has Results,Chronic Kidney Disease|Renal Insufficiency,Drug: Omniscan,GE Healthcare|i3 Statprobe,GE Healthcare,i3 Statprobe,,,,,,Phase 4,Industry,Interventional,5/9/2019,9/13/2019,https://ClinicalTrials.gov/show/NCT00908310
65,"A Study to Examine the Pharmacokinetics, Tolerability, Safety and Efficacy of Exenatide Once Weekly Suspension",Completed,Has Results,Type 2 Diabetes Mellitus,Drug: exenatide once weekly|Other: Placebo,AstraZeneca|Eli Lilly and Company,AstraZeneca,Eli Lilly and Company,,,,,,Phase 1|Phase 2,Industry,Interventional,4/9/2019,8/9/2019,https://ClinicalTrials.gov/show/NCT00894322
