CTID,Title,Conditions,Results First Posted,Ticker
NCT02662764,Study to Evaluate the Overall Performance of the Zalviso System™ (Sufentanil Sublingual Tablet System) 15 mcg,Moderate-to-severe Acute Pain,8/8/2018,ACRX
NCT01539538,"A Multicenter, Randomized, Open-Label, Parallel-Group Trial to Compare the Efficacy and Safety of the Sufentanil NanoTab PCA System/15 mcg (Zalviso™)to Intravenous Patient-Controlled Analgesia With Morphine for the Treatment of Acute Post-Operative Pain",Post-Operative Pain,3/27/2014,ACRX
NCT01539642,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial to Evaluate the Efficacy and Safety of the Sufentanil NanoTab PCA System/15 mcg (Zalviso™) for the Treatment of Post-Operative Pain in Patients After Open Abdominal Surgery",Post-Operative Pain,2/3/2014,ACRX
NCT01446042,Safety and Efficacy of Intranasal TBS-1 Treatment of Male Hypogonadism,Male Hypogonadism,6/13/2018,
NCT02132169,A Multi-Center Study Evaluating the Safety of AC-170 0.24%,Atopic Disease (Including Allergic Conjunctivitis),7/26/2017,
NCT01881113,"A Multi-Center, Evaluation of the Onset and Duration of Action of AC-170 0.24% Compared to Vehicle",Allergic Conjunctivitis,11/9/2017,
NCT01685242,"A Single-Center,Evaluation of the Onset and Duration of Action of AC-170 0.24% Compared to Vehicle",Allergic Conjunctivitis,10/10/2017,
NCT01551056,A Multi-Center Study Evaluating the Onset and Duration of Action of AC-170 0.24% Compared to Vehicle in the Conjunctival Allergen Challenge (CAC),Allergic Conjunctivitis,10/3/2017,
NCT01332188,Efficacy of AC-170 for the Treatment of Allergic Conjunctivitis in the Conjunctival Allergen Challenge (CAC) Model,Allergic Conjunctivitis,8/30/2017,
NCT02667288,An Open-Label Safety Study of A-101 Solution,Seborrheic Keratosis,11/17/2017,ACRS
NCT02667275,"A Randomized, Double-Blind, Vehicle-Controlled Study in Subjects With Seborrheic Keratosis",Seborrheic Keratosis,11/13/2017,ACRS
NCT02667236,A Study of A-101 Solution 40% in Subjects With Seborrheic Keratosis.,Seborrheic Keratosis,11/13/2017,ACRS
NCT03824912,Clinical Study to Evaluate the Therapeutic Equivalence of Ketoconazole Cream 2% in the Treatment of Tinea Pedis,Tinea Pedis,6/13/2019,
NCT02352363,Randomized Safety Study of CVT-301 Compared to an Observational Control Group,Idiopathic Parkinson's Disease,7/10/2018,ACOR
NCT02271217,A Study to Evaluate the Efficacy and Safety of Two Dose Strengths of Dalfampridine Extended Release Tablets.,Post-Ischemic Stroke,12/4/2017,ACOR
NCT02240030,Efficacy and Safety Study of CVT-301 In Parkinson's Disease Patients With OFF Episodes,Idiopathic Parkinson's Disease,4/17/2018,ACOR
NCT01683838,Safety and Efficacy of Oral Fampridine-Sustained Release (SR) for the Treatment of Spasticity Resulting From Spinal Cord Injury,Spinal Cord Injury|Muscle Spasticity,2/5/2014,ACOR
NCT01328379,Study of Fampridine-ER Tablets in Patients With Multiple Sclerosis,Multiple Sclerosis,8/13/2013,ACOR
NCT00654927,"Open-Label Extension Study to Evaluate the Safety, Tolerability and Activity of Oral Fampridine-SR in Patients With Multiple Sclerosis",Multiple Sclerosis,2/29/2012,ACOR
NCT00649792,"Open-Label Extension Study to Evaluate the Safety, Tolerability and Activity of Oral Fampridine-SR in Patients With Multiple Sclerosis Who Participated in the MS-F204 Trial",Multiple Sclerosis,2/27/2012,ACOR
NCT00648908,"Open-Label Extension Study to Evaluate the Safety, Tolerability and Activity of Oral Fampridine-SR Tablets in Multiple Sclerosis Patients Who Participated in the MS-F203 Trial",Multiple Sclerosis,2/27/2012,ACOR
NCT00483652,Study of Fampridine-SR Tablets in Multiple Sclerosis Patients,Multiple Sclerosis,4/14/2011,ACOR
NCT00127530,Study of Oral Fampridine-SR in Multiple Sclerosis,Multiple Sclerosis,5/6/2011,ACOR
NCT00041717,Safety and Efficacy of Oral Fampridine-SR for the Treatment of Spasticity Resulting From Spinal Cord Injury,Spinal Cord Injury|Muscle Spasticity,5/31/2013,ACOR
NCT01966003,Efficacy and Safety Study of ABP 215 Compared With Bevacizumab in Patients With Advanced Non-Small Cell Lung Cancer,Non-small Cell Lung Cancer Metastatic,10/19/2017,
NCT03287791,A Study to Evaluate Safety and Equivalence of Generic Azelaic Acid Foam and Finacea® Foam in Participants With Rosacea,Rosacea,7/17/2019,
NCT02616601,"Multicenter, Double-blind, Placebo Controlled Comparing Test Fluorouracil Cream to Carac Cream in Actinic Keratosis",Actinic Keratosis,7/17/2019,
NCT02471183,Study to Assess the Tolerability and the Safety of the Transition From Inhaled Treprostinil to Oral Selexipag in Patients With Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension,12/28/2017,
NCT01987895,Efficacy and Safety of Cadazolid Versus Vancomycin in Subjects With Clostridium Difficile - Associated Diarrhea,Clostridium Difficile Infection,5/4/2018,
NCT01983683,Efficacy and Safety of Cadazolid Versus Vancomycin in Subjects With Clostridium Difficile-associated Diarrhea,Clostridium Difficile Infection,4/13/2018,
NCT01841762,Clinical Study of Macitentan in Patients With Pulmonary Arterial Hypertension to Psychometrically Validate the PAH-SYMPACT Instrument,Pulmonary Arterial Hypertension,10/31/2018,
NCT01743001,Clinical Study to Evaluate the Effects of Macitentan on Exercise Capacity in Subjects With Eisenmenger Syndrome,Pulmonary Arterial Hypertension,1/30/2018,
NCT01474109,Macitentan for the Treatment of Digital Ulcers in Systemic Sclerosis Patients,Systemic Sclerosis|Ulcers,1/6/2015,
NCT01106014,Selexipag (ACT-293987) in Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension,3/1/2016,
NCT03187678,Safety Study of the Switch From Oral Selexipag to Intravenous Selexipag in Subjects With Stable Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension,5/21/2019,
NCT00709956,Iloprost Power 15 in Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension,10/26/2012,
NCT00709098,Safety Study Extension of Iloprost Power 15 in Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension,10/29/2012,
NCT00660179,Study of Macitentan (ACT-064992) on Morbidity and Mortality in Patients With Symptomatic Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension,5/5/2014,
NCT01338415,FUTURE 3 Study Extension,Pulmonary Arterial Hypertension,12/11/2017,
NCT00631475,Open Label Extension Study in Patients With Idiopathic Pulmonary Fibrosis Who Completed Protocol AC-052-321/ BUILD 3 / NCT00391443,Idiopathic Pulmonary Fibrosis,8/3/2012,
NCT01223352,Effects of Two Dosing Regimens of Bosentan in Children With Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension,6/29/2017,
NCT00391443,BUILD 3: Bosentan Use in Interstitial Lung Disease,Idiopathic Pulmonary Fibrosis,5/25/2012,
NCT00319696,Bosentan in Digital Ulcers,Digital Ulcers,8/8/2012,
NCT00319046,"Clinical Study to Evaluate the Long Term Efficacy, Safety and Tolerability of Miglustat in Patients With Stable Type 1 Gaucher Disease",Gaucher Disease Type 1,5/23/2012,
NCT00319111,Bosentan in Patients With Inoperable Chronic Thromboembolic Pulmonary Hypertension (CTEPH),Pulmonary Hypertension,12/31/2012,
NCT00319020,Bosentan in Children With Pulmonary Arterial Hypertension Extension Study,Pulmonary Arterial Hypertension,3/29/2017,
NCT02274766,Efficacy and Safety Study of ADS-5102 in PD Patients With Levodopa-Induced Dyskinesia,Dyskinesia|Levodopa-Induced Dyskinesia (LID)|Parkinson's Disease (PD),1/10/2018,ADMS
NCT02136914,ADS-5102 for the Treatment of Levodopa Induced Dyskinesia (EASE LID Study),Dyskinesia|Levodopa Induced Dyskinesia (LID)|Parkinson's Disease,2/6/2018,ADMS
NCT01397422,Extended Release Amantadine Safety and Efficacy Study in Levodopa-Induced Dyskinesia (EASED Study),Dyskinesia|Levodopa Induced Dyskinesia|Parkinson's Disease,11/6/2017,ADMS
NCT01814800,"Pharmacokinetics, Efficacy, and Safety Study of RI-002 (IGIV) in Subjects With Primary Immunodeficiency Diseases (PIDD)",Primary Immune Deficiency Disorder,10/5/2016,ADMA
NCT02266810,Safety and Efficacy of the Propel Mini and Propel Nova Steroid-Eluting Sinus Implant in Frontal Sinus,Chronic Sinusitis,10/6/2017,
NCT00336505,Study Comparing the Safety and Efficacy of Cethromycin to Clarithromycin for the Treatment of Community-Acquired Pneumonia (CAP),Pneumonia,2/26/2010,
NCT00336544,Study Comparing the Safety and Efficacy of Cethromycin to Clarithromycin for the Treatment of Community-Acquired Pneumonia,Pneumonia,2/26/2010,
NCT00316121,Safety and Efficacy Study of Healos as a Bone Replacement to Treat Degenerative Disc Disease,Degenerative Disc Disease,3/3/2011,
NCT00943306,"Long Term, Follow-on Study of Lomitapide in Patients With Homozygous Familial Hypercholesterolemia",Familial Hypercholesterolemia,5/10/2018,
NCT00730236,A Safety and Efficacy Study of AEGR-733 to Treat Homozygous Familial Hypercholesterolemia (FH),Homozygous Familial Hypercholesterolemia,2/22/2013,
NCT02674854,Double-masked Study of PG324 Ophthalmic Solution in Patients With Open-angle Glaucoma or Ocular Hypertension,Open-angle Glaucoma|Ocular Hypertension,5/1/2019,AERI
NCT02558400,Double-masked Study of PG324 Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,Open-angle Glaucoma|Ocular Hypertension,6/4/2019,AERI
NCT02558374,Double-masked Study of Netarsudil (AR-13324) Ophthalmic Solution in Subjects With Glaucoma or Ocular Hypertension,Open-angle Glaucoma|Ocular Hypertension,4/6/2018,AERI
NCT02246764,Study of Netarsudil (AR-13324) Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,Ocular Hypertension|Glaucoma,4/6/2018,AERI
NCT02207621,Evaluation of Netarsudil (AR-13324) Ophthalmic Solution in Patients With Glaucoma and Ocular Hypertension,Ocular Hypertension|Open-angle Glaucoma,4/6/2018,AERI
NCT02207491,Double-masked Study of AR-13324 Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,Ocular Hypertension|Open-angle Glaucoma,4/13/2018,AERI
NCT01767155,Zoptarelin Doxorubicin (AEZS 108) as Second Line Therapy for Endometrial Cancer,Endometrial Cancer,7/31/2018,AEZS
NCT02558829,Validation of Macimorelin as a Test for Adult Growth Hormone Deficiency,Growth Hormone Deficiency With Pituitary Anomalies,2/9/2018,AEZS
NCT00670306,Cetrorelix Pamoate IM Regimens in Patients With Symptomatic Benign Prostatic Hyperplasia (BPH),Benign Prostatic Hypertrophy,1/19/2011,AEZS
NCT00448747,"Investigation of a New, Oral Growth Hormone Secretagogue, AEZS-130 as a Growth Hormone Stimulation Test.",Diagnosis of Adult Growth Hormone Deficiency (AGDH),7/23/2019,AEZS
NCT02777931,Efficacy and Safety of NFC-1 in Adolescents With Genetic Disorders Impacting mGluR and ADHD,Attention Deficit Disorder With Hyperactivity,3/29/2018,GNMX
NCT01478971,Conversion Study From Epoetin Alfa to Monthly Peginesatide Injection in Patients With Chronic Kidney Disease on Dialysis,Chronic Kidney Disease|Anemia,5/26/2014,
NCT00598442,Safety and Efficacy of Peginesatide for the Treatment of Anemia in Participants With Chronic Renal Failure Not on Dialysis,Chronic Renal Failure|Chronic Kidney Disease|Anemia,7/30/2012,
NCT00598273,Safety & Efficacy of Peginesatide for the Treatment of Anemia in Participants With Chronic Renal Failure Not on Dialysis,Chronic Renal Failure|Chronic Kidney Disease|Anemia,7/30/2012,
NCT00597753,Safety & Efficacy of Peginesatide for Maintenance Treatment of Anemia in Participants With Chronic Kidney Disease on Hemodialysis,Chronic Renal Failure|Chronic Kidney Disease|Anemia,7/30/2012,
NCT00597584,Safety & Efficacy of Peginesatide for Maintenance Treatment of Anemia in Participants With Chronic Kidney Disease on Hemodialysis,Chronic Renal Failure|Chronic Kidney Disease|Anemia,7/30/2012,
NCT01420653,Maxigesic 325 Acute Dental Pain Study,Dental Pain,12/6/2018,
NCT01236768,"Transdermal Contraceptive Delivery System (TCDS), Also Known as AG200-15 Patch Arm",Contraception,9/15/2017,AGRX
NCT01181479,Study to Evaluate the Contraceptive Efficacy/Safety of a Low Dose EE/LNG Transdermal Contraceptive Delivery System,Contraception,7/3/2018,AGRX
NCT00811954,Comparative Study of Three NNRTI-Sparing HAART Regimens,HIV Infection,9/5/2014,
NCT01164722,Infrared Coagulator Ablation or Observation in Preventing Anal Cancer in HIV-Positive Patients With Anal Neoplasia,Anal Cancer|Neoplasm of Uncertain Malignant Potential|Nonneoplastic Condition|Precancerous Condition,10/31/2016,
NCT02059642,A 6 Week Study of MG01CI 1400 mg Compared With Placebo in Adults With ADHD ( Attention Deficit/Hyperactivity ),"ADHD|Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",3/28/2017,
NCT01201798,Safety and Efficacy of Difluprednate 0.05% for the Treatment of Anterior Uveitis,Endogenous Anterior Uveitis,11/15/2012,ALC
NCT01124045,Difluprednate Pediatric Study for the Treatment of Inflammation Post-Cataract Surgery,Cataracts|Inflammation,6/19/2013,ALC
NCT01109173,Confirmatory Study Nepafenac 0.3%,Cataract,11/30/2012,ALC
