Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Phases,Funded Bys,Study Type,Results First Posted,URL
34,Phase 3 Study to Evaluate Efficacy of Amifampridine Phosphate in Lambert-Eaton Myasthenic Syndrome (LEMS),Completed,Has Results,Lambert-Eaton Myasthenic Syndrome,Drug: Amifampridine Phosphate|Drug: Placebo Oral Tablet,"Catalyst Pharmaceuticals, Inc.",Phase 3,Industry,Interventional,24-Dec-18,https://ClinicalTrials.gov/show/NCT02970162
35,Phase III Clinical Study in Patients With Mild to Severe Scalp Psoriasis,Completed,Has Results,Scalp Psoriasis,Drug: DSXS topical|Drug: Vehicle topical,Taro Pharmaceuticals USA,Phase 3,Industry,Interventional,6-Dec-18,https://ClinicalTrials.gov/show/NCT02933866
36,A Safety And Efficacy Study of Ibuprofen 250 mg / Acetaminophen 500 mg In The Treatment Of Post-Surgical Dental Pain,Completed,Has Results,Post-surgical Pain Following Extraction of Molar Teeth,Drug: Ibuprofen 250 mg / Acetaminophen 500 mg|Drug: Ibuprofen 250 mg|Drug: Acetaminophen 650 mg|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,30-Aug-17,https://ClinicalTrials.gov/show/NCT02912650
37,Placebo-controlled Trial of F-627 in Women With Breast Cancer Receiving Myelotoxic Chemotherapy,Completed,Has Results,Breast Cancer|Neutropenia,Drug: F-627|Drug: Placebo,Generon (Shanghai) Corporation Ltd.,Phase 3,Industry,Interventional,26-Mar-19,https://ClinicalTrials.gov/show/NCT02872103
38,A Dental Pain Study Comparing The Analgesic Efficacy Of Ibuprofen/Caffeine,Completed,Has Results,Pain,Drug: Ibuprofen/Caffeine|Drug: Ibuprofen|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,8-Apr-19,https://ClinicalTrials.gov/show/NCT02863575
39,A Study of Ibuprofen (IBU) 250mg/APAP 500mg In The Treatment Of Post-Surgical Dental Pain,Completed,Has Results,Pain,Drug: FDC IBU/APAP 250 mg/500 mg|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,5-Mar-18,https://ClinicalTrials.gov/show/NCT02837952
40,Investigating the Efficacy of an Occluding Dentifrice in Providing Relief From Dentinal Hypersensitivity,Completed,Has Results,Dentin Sensitivity,Drug: stannous fluoride|Drug: sodium monofluorophosphate,GlaxoSmithKline,Phase 3,Industry,Interventional,27-Feb-17,https://ClinicalTrials.gov/show/NCT02832375
41,A Study of Ibuprofen 250 mg / Acetaminophen 500 mg Comparing The Antipyretic Effects in Healthy Male Volunteers,Completed,Has Results,Fever,Drug: Ibuprofen 250 mg / Acetaminophen 500 mg|Drug: Ibuprofen 250 mg|Drug: Acetaminophen 500 mg|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,7-Dec-18,https://ClinicalTrials.gov/show/NCT02761980
42,A Study of Oral Testosterone Undecanoate (TU) in Hypogonadal Men,Completed,Has Results,Hypogonadism,Drug: Oral Testosterone Undecanoate|Drug: Axiron Testosterone Topical Solution,"Clarus Therapeutics, Inc.|Syneos Health",Phase 3,Industry|Other,Interventional,23-Feb-18,https://ClinicalTrials.gov/show/NCT02722278
43,Double-masked Study of PG324 Ophthalmic Solution in Patients With Open-angle Glaucoma or Ocular Hypertension,Completed,Has Results,Open-angle Glaucoma|Ocular Hypertension,Drug: PG324 Ophthalmic Solution 0.02%/0.005%|Drug: Netarsudil (AR-13324) ophthalmic solution 0.02%|Drug: Latanoprost ophthalmic solution 0.005%,Aerie Pharmaceuticals,Phase 3,Industry,Interventional,1-May-19,https://ClinicalTrials.gov/show/NCT02674854
44,An Open-Label Safety Study of A-101 Solution,Completed,Has Results,Seborrheic Keratosis,Drug: A-101 Solution,"Aclaris Therapeutics, Inc.",Phase 3,Industry,Interventional,17-Nov-17,https://ClinicalTrials.gov/show/NCT02667288
45,"A Randomized, Double-Blind, Vehicle-Controlled Study in Subjects With Seborrheic Keratosis",Completed,Has Results,Seborrheic Keratosis,Drug: A-101 Solution|Other: Vehicle Solution,"Aclaris Therapeutics, Inc.",Phase 3,Industry,Interventional,13-Nov-17,https://ClinicalTrials.gov/show/NCT02667275
46,A Study of A-101 Solution 40% in Subjects With Seborrheic Keratosis.,Completed,Has Results,Seborrheic Keratosis,Drug: A-101 Solution|Other: Vehicle Solution,"Aclaris Therapeutics, Inc.",Phase 3,Industry,Interventional,13-Nov-17,https://ClinicalTrials.gov/show/NCT02667236
47,Clinical Study to Evaluate the Efficacy and Safety of DSXS in Patients With Mild to Moderate Plaque Psoriasis,Completed,Has Results,Plaque Psoriasis,Drug: DSXS|Drug: Placebo,Taro Pharmaceuticals USA,Phase 3,Industry,Interventional,10-Dec-18,https://ClinicalTrials.gov/show/NCT02618759
48,Clinical Study to Evaluate the Efficacy and Safety of Desoximetasone (DSXS) With Atopic Dermatitis,Completed,Has Results,Atopic Dermatitis,Drug: DSXS|Drug: Placebo,Taro Pharmaceuticals USA,Phase 3,Industry,Interventional,7-Dec-18,https://ClinicalTrials.gov/show/NCT02595073
49,Double-masked Study of PG324 Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,Completed,Has Results,Open-angle Glaucoma|Ocular Hypertension,Drug: PG324 Ophthalmic Solution 0.02%/0.005%|Drug: Netarsudil (AR-13324) Ophthalmic Solution 0.02%|Drug: Latanoprost Ophthalmic Solution 0.005%,Aerie Pharmaceuticals,Phase 3,Industry,Interventional,4-Jun-19,https://ClinicalTrials.gov/show/NCT02558400
50,Double-masked Study of Netarsudil (AR-13324) Ophthalmic Solution in Subjects With Glaucoma or Ocular Hypertension,Completed,Has Results,Open-angle Glaucoma|Ocular Hypertension,Drug: AR-13324 Ophthalmic Solution 0.02%|Drug: Timolol Maleate Ophthalmic Solution 0.5% BID|Other: Placebo,Aerie Pharmaceuticals,Phase 3,Industry,Interventional,6-Apr-18,https://ClinicalTrials.gov/show/NCT02558374
51,Efficacy and Safety of LEO 43204 in the Field Treatment of Actinic Keratosis on Face or Chest including12-month Follow-up,Completed,Has Results,Actinic Keratosis,Drug: LEO 43204 gel|Drug: Vehicle gel,LEO Pharma,Phase 3,Industry,Interventional,14-Nov-18,https://ClinicalTrials.gov/show/NCT02549339
52,Efficacy and Safety of LEO 43204 in Field Treatment of Actinic Keratosis on Balding Scalp Including 12-month Follow-up,Completed,Has Results,Actinic Keratosis,Drug: LEO 43204 gel|Drug: Vehicle gel,LEO Pharma,Phase 3,Industry,Interventional,25-Dec-18,https://ClinicalTrials.gov/show/NCT02547363
53,Efficacy and Safety of LEO 43204 in Field Treatment of Actinic Keratosis on Face or Chest Including 12-month Follow-up,Completed,Has Results,Actinic Keratosis,Drug: LEO 43204 gel|Drug: Vehicle gel,LEO Pharma,Phase 3,Industry,Interventional,25-Dec-18,https://ClinicalTrials.gov/show/NCT02547233
54,A 52-Week Parallel Group Safety Study of TD-4208 in Chronic Obstructive Pulmonary Disease (COPD),Completed,Has Results,Chronic Obstructive Pulmonary Disease (COPD),Drug: TD-4208|Drug: Tiotropium,Theravance Biopharma,Phase 3,Industry,Interventional,31-Dec-18,https://ClinicalTrials.gov/show/NCT02518139
55,Efficacy Study of Nebulized TD-4208 for Chronic Obstructive Pulmonary Disease (COPD),Completed,Has Results,Chronic Obstructive Pulmonary Disease (COPD),Drug: TD-4208|Drug: Placebo,Theravance Biopharma,Phase 3,Industry,Interventional,31-Dec-18,https://ClinicalTrials.gov/show/NCT02512510
56,"Topical Application of Cocaine HCl 4%, or 10%, or Placebo Solution in Local (Topical) Anesthesia",Completed,Has Results,Any Ear Nose or Throat Conditions|With Identified Need for a Diagnostic Procedure or Surgery on or Through the Mucous Membranes of the Nasal Cavities,Drug: Cocaine HCl 4% Topical Solution|Drug: Cocaine HCl 10% Topical Solution|Drug: Placebo Topical Solution,"Lannett Company, Inc.",Phase 3,Industry,Interventional,16-May-17,https://ClinicalTrials.gov/show/NCT02500836
57,A Study to Assess the Efficacy and Tolerability of Diclofenac Potassium Soft Gelatin Capsules Compared With Ibuprofen Tablets in Patients With Moderate to Severe Postoperative Dental Pain,Completed,Has Results,Post Operative Dental Pain,Drug: Diclofenac potassium|Drug: Ibuprofen|Drug: Placebo to ibuprofen|Drug: Placebo to diclofenac potassium,Novartis Pharmaceuticals|Novartis,Phase 3,Industry,Interventional,17-Oct-16,https://ClinicalTrials.gov/show/NCT02476422
58,Efficacy Study of Nebulized TD-4208 for Chronic Obstructive Pulmonary Disease (COPD),Completed,Has Results,Chronic Obstructive Pulmonary Disease (COPD),Drug: TD-4208|Drug: Placebo,Theravance Biopharma,Phase 3,Industry,Interventional,31-Dec-18,https://ClinicalTrials.gov/show/NCT02459080
59,A Study to Compare a New Eye Drop Formulation With Systane® Gel Drops and Genteal® Lubricant Gel Drops for Moderate to Severe Dry Eye Relief,Completed,Has Results,Dry Eye Syndromes,Drug: Carboxymethylcellulose Sodium Based Eye Drops|Drug: Systane® Gel Drops|Drug: Genteal® Lubricant Gel Drops,Allergan,Phase 3,Industry,Interventional,4-Jan-17,https://ClinicalTrials.gov/show/NCT02455050
60,A Study of the Early Activity of Ixekizumab (LY2439821) in Moderate-to-Severe Psoriasis,Completed,Has Results,Psoriasis,Drug: Ixekizumab,Eli Lilly and Company,Phase 3,Industry,Interventional,21-Oct-16,https://ClinicalTrials.gov/show/NCT02387801
61,"Efficacy and Safety of Ingenol Mebutate Gel for Actinic Keratosis Applied on Large Area on Face, Scalp or Chest",Completed,Has Results,Actinic Keratosis,Drug: Ingenol Mebutate|Other: Vehicle,LEO Pharma,Phase 3,Industry,Interventional,3-Oct-18,https://ClinicalTrials.gov/show/NCT02361216
62,Pharmacokinetic Comparison Of All FK-506 Formulations,Completed,Has Results,Renal Failure,Drug: Prograf vs Envarsus XR vs Astagraf XL|Drug: Prograf vs Astagraf XL vs Envarsus XR,Veloxis Pharmaceuticals,Phase 3,Industry,Interventional,18-Jan-16,https://ClinicalTrials.gov/show/NCT02339246
63,EDG004 Treatment of Adult Patients With Generalized Anxiety Disorder (GAD),Completed,Has Results,Generalized Anxiety Disorder (GAD),Drug: Extended-release lorazepam|Drug: Placebo,"Edgemont Pharmaceuticals, LLC",Phase 3,Industry,Interventional,26-Sep-18,https://ClinicalTrials.gov/show/NCT02305797
64,A Within-subject Study to Evaluate the Efficacy and Safety of Diclofenac Sodium Topical Gel 1% Compared to Placebo in Subjects Experiencing Delayed Onset Muscle Soreness,Completed,Has Results,Muscle Soreness,Drug: Diclofenac sodium gel 1%|Drug: Placebo,Novartis,Phase 3,Industry,Interventional,5-Apr-16,https://ClinicalTrials.gov/show/NCT02271854
65,Study of Netarsudil (AR-13324) Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,Completed,Has Results,Ocular Hypertension|Glaucoma,Drug: AR-13324 Ophthalmic Solution 0.02%|Drug: AR-13324 Ophthalmic Solution 0.02% BID|Drug: Timolol maleate Ophthalmic Solution 0.5% BID|Other: Placebo,Aerie Pharmaceuticals,Phase 3,Industry,Interventional,6-Apr-18,https://ClinicalTrials.gov/show/NCT02246764
66,Irritation and Sensitization of Chlorhexidine Gluconate (CHG) Cloth,Completed,Has Results,Surgery,Drug: 2% CHG Cloth solution|Device: Vehicle Cloth|Drug: Active Comparator|Other: Saline|Other: SLS,Medline Industries,Phase 3,Industry,Interventional,30-May-16,https://ClinicalTrials.gov/show/NCT02224625
67,A Study in Older Subject to Evaluate the Safety and Ability of Andexanet Alfa to Reverse the Anticoagulation Effect of Rivaroxaban,Completed,Has Results,Bleeding,Biological: Andexanet|Other: Placebo,Portola Pharmaceuticals,Phase 3,Industry,Interventional,25-Sep-18,https://ClinicalTrials.gov/show/NCT02220725
68,A Study in Older Subjects to Evaluate the Safety and Ability of Andexanet Alfa to Reverse the Anticoagulation Effect of Apixaban,Completed,Has Results,Bleeding,Biological: Andexanet|Other: Placebo,Portola Pharmaceuticals,Phase 3,Industry,Interventional,27-Sep-18,https://ClinicalTrials.gov/show/NCT02207725
69,Evaluation of Netarsudil (AR-13324) Ophthalmic Solution in Patients With Glaucoma and Ocular Hypertension,Completed,Has Results,Ocular Hypertension|Open-angle Glaucoma,Drug: AR-13324 Ophthalmic Solution 0.02%|Drug: Timolol maleate Ophthalmic Solution 0.5% BID|Other: Placebo|Drug: AR-13324 Ophthalmic Solution 0.02% BID,Aerie Pharmaceuticals,Phase 3,Industry,Interventional,6-Apr-18,https://ClinicalTrials.gov/show/NCT02207621
70,Double-masked Study of AR-13324 Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,Completed,Has Results,Ocular Hypertension|Open-angle Glaucoma,Drug: Timolol maleate Ophthalmic Solution 0.5% BID|Drug: AR-13324 Ophthalmic Solution 0.02%|Other: Placebo,Aerie Pharmaceuticals,Phase 3,Industry,Interventional,13-Apr-18,https://ClinicalTrials.gov/show/NCT02207491
71,A Multi-Center Study Evaluating the Safety of AC-170 0.24%,Completed,Has Results,Atopic Disease (Including Allergic Conjunctivitis),Drug: Drug: AC-170 0.24%|Drug: AC-170 0%,"Aciex Therapeutics, Inc.",Phase 3,Industry,Interventional,26-Jul-17,https://ClinicalTrials.gov/show/NCT02132169
72,Safety and Efficacy of Oxymetazoline HCl Cream 1.0% in Patients With Persistent Erythema Associated With Rosacea,Completed,Has Results,Erythema|Rosacea,Drug: Oxymetazoline HCL Cream 1.0%|Drug: Vehicle to Oxymetazoline HCL Cream,Allergan,Phase 3,Industry,Interventional,2-Aug-16,https://ClinicalTrials.gov/show/NCT02132117
73,Efficacy and Safety of AGN-199201 in Patients With Persistent Erythema Associated With Rosacea,Completed,Has Results,Erythema|Rosacea,Drug: AGN-199201|Drug: Vehicle to AGN-199201,Allergan,Phase 3,Industry,Interventional,10-Mar-16,https://ClinicalTrials.gov/show/NCT02131636
74,"Safety and Efficacy of AN2728 Topical Ointment, 2% in Children, Adolescents, and Adults (Aged 2 Years and Older) With Atopic Dermatitis",Completed,Has Results,"Dermatitis, Atopic","Drug: AN2728 Topical Ointment, 2%|Drug: Matching vehicle control",Pfizer,Phase 3,Industry,Interventional,6-Mar-17,https://ClinicalTrials.gov/show/NCT02118792
75,"Safety and Efficacy of AN2728 Topical Ointment, 2% in Children, Adolescents, and Adults (Ages 2 Years and Older) With Atopic Dermatitis",Completed,Has Results,"Dermatitis, Atopic","Drug: AN2728 Topical Ointment, 2%|Drug: Matching vehicle control",Pfizer,Phase 3,Industry,Interventional,6-Mar-17,https://ClinicalTrials.gov/show/NCT02118766
76,A Long-Term Safety and Efficacy Study AGN-19920 in Patients With Persistent Erythema Associated With Rosacea,Completed,Has Results,Erythema|Rosacea,Drug: Oxymetazoline HCL Cream 1.0%,Allergan,Phase 3,Industry,Interventional,21-Sep-16,https://ClinicalTrials.gov/show/NCT02095158
77,Second Phase 3 Study Evaluating Safety and Efficacy of OTX-DP for Treatment of Ocular Inflammation and Pain After Cataract Surgery,Completed,Has Results,Post Ocular Surgical Inflammation and Pain,Drug: Dexamethasone|Device: Punctum Plug,"Ocular Therapeutix, Inc.",Phase 3,Industry,Interventional,30-Mar-16,https://ClinicalTrials.gov/show/NCT02089113
78,Safety and Efficacy of T-2345 Compared to Xalatan in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension,Completed,Has Results,Primary Open Angle Glaucoma|Ocular Hypertension,Drug: T-2345|Drug: Xalatan,Nephron Pharmaceuticals Corporation,Phase 3,Industry,Interventional,22-Aug-18,https://ClinicalTrials.gov/show/NCT02059278
79,Patient Experience Study of Deoxycholic Acid Injection,Completed,Has Results,Moderate or Severe Submental Fullness,Drug: Deoxycholic Acid Injection|Drug: Placebo|Other: Cold Compress|Drug: Lidocaine / Epinephrine|Drug: Loratadine|Drug: Ibuprofen|Other: Compression Chin Strap,Kythera Biopharmaceuticals,Phase 3,Industry,Interventional,3-Jul-15,https://ClinicalTrials.gov/show/NCT02007434
80,The Efficacy and Safety of IBI-10090 for the Treatment of Inflammation Associated With Cataract Surgery,Completed,Has Results,Inflammation|Cataracts,Drug: IBI-10090|Drug: Placebo,ICON Bioscience Inc,Phase 3,Industry,Interventional,23-Apr-18,https://ClinicalTrials.gov/show/NCT02006888
