CTID,Title,Conditions,Study Type,Results First Posted,Company,Intervention
NCT02194933,Monotherapy Brexpiprazole (OPC-34712) Trial in the Treatment of Adults With Schizophrenia With Impulsivity,Schizophrenia With Impulsivity,Interventional,11-Sep-18,"Otsuka Pharmaceutical Development & Commercialization, Inc.",Drug: Brexpiprazole
NCT02194933,Monotherapy Brexpiprazole (OPC-34712) Trial in the Treatment of Adults With Schizophrenia With Impulsivity,Schizophrenia With Impulsivity,Interventional,11-Sep-18,"Otsuka Pharmaceutical Co., Ltd.",Drug: Brexpiprazole
NCT02110238,Non-Inferiority Study Comparing 3 Weekly Injections of SUPARTZ® vs 3 Weekly Injections of Euflexxa® for Knee OA,Osteoarthritis,Interventional,23-Jun-16,Bioventus LLC,Device: Supartz
NCT02110238,Non-Inferiority Study Comparing 3 Weekly Injections of SUPARTZ® vs 3 Weekly Injections of Euflexxa® for Knee OA,Osteoarthritis,Interventional,23-Jun-16,Bioventus LLC,Device: Euflexxa
NCT02110238,Non-Inferiority Study Comparing 3 Weekly Injections of SUPARTZ® vs 3 Weekly Injections of Euflexxa® for Knee OA,Osteoarthritis,Interventional,23-Jun-16,Seikagaku Corporation,Device: Supartz
NCT02110238,Non-Inferiority Study Comparing 3 Weekly Injections of SUPARTZ® vs 3 Weekly Injections of Euflexxa® for Knee OA,Osteoarthritis,Interventional,23-Jun-16,Seikagaku Corporation,Device: Euflexxa
NCT02096861,Demonstrate Noninferiority in Efficacy and to Assess Safety of CT-P13 in Patients With Active Crohn's Disease,Crohn's Disease,Interventional,11-Apr-18,Celltrion,Biological: CT-P13
NCT02096861,Demonstrate Noninferiority in Efficacy and to Assess Safety of CT-P13 in Patients With Active Crohn's Disease,Crohn's Disease,Interventional,11-Apr-18,Celltrion,Biological: Remicade
NCT02096861,Demonstrate Noninferiority in Efficacy and to Assess Safety of CT-P13 in Patients With Active Crohn's Disease,Crohn's Disease,Interventional,11-Apr-18,Pfizer,Biological: CT-P13
NCT02096861,Demonstrate Noninferiority in Efficacy and to Assess Safety of CT-P13 in Patients With Active Crohn's Disease,Crohn's Disease,Interventional,11-Apr-18,Pfizer,Biological: Remicade
NCT01959035,Aripiprazole Once-monthly in Patients With Schizophrenia,Schizophrenia,Interventional,16-May-16,H. Lundbeck A/S,Drug: Aripiprazole once-monthly
NCT01959035,Aripiprazole Once-monthly in Patients With Schizophrenia,Schizophrenia,Interventional,16-May-16,"Otsuka Pharmaceutical Co., Ltd.",Drug: Aripiprazole once-monthly
NCT01810380,Brexpiprazole in Patients With Acute Schizophrenia,Schizophrenia,Interventional,29-Mar-16,H. Lundbeck A/S,Drug: Placebo
NCT01810380,Brexpiprazole in Patients With Acute Schizophrenia,Schizophrenia,Interventional,29-Mar-16,H. Lundbeck A/S,Drug: Brexpiprazole
NCT01810380,Brexpiprazole in Patients With Acute Schizophrenia,Schizophrenia,Interventional,29-Mar-16,H. Lundbeck A/S,Drug: Quetiapine extended release
NCT01810380,Brexpiprazole in Patients With Acute Schizophrenia,Schizophrenia,Interventional,29-Mar-16,"Otsuka Pharmaceutical Co., Ltd.",Drug: Placebo
NCT01810380,Brexpiprazole in Patients With Acute Schizophrenia,Schizophrenia,Interventional,29-Mar-16,"Otsuka Pharmaceutical Co., Ltd.",Drug: Brexpiprazole
NCT01810380,Brexpiprazole in Patients With Acute Schizophrenia,Schizophrenia,Interventional,29-Mar-16,"Otsuka Pharmaceutical Co., Ltd.",Drug: Quetiapine extended release
NCT01053312,PET Imaging of Brain Amyloid in Normal Pressure Hydrocephalus,Normal Pressure Hydrocephalus,Interventional,5-Jun-12,GE Healthcare,Drug: [18F] Flutemetamol
NCT01053312,PET Imaging of Brain Amyloid in Normal Pressure Hydrocephalus,Normal Pressure Hydrocephalus,Interventional,5-Jun-12,i3 Statprobe,Drug: [18F] Flutemetamol
NCT00817206,Safety and Efficacy of LCP-Tacro™ Once Daily in Stable Renal Transplant Patients Converted From Prograf® Twice Daily,Renal Failure,Interventional,10-Sep-15,Veloxis Pharmaceuticals,Drug: LCP-Tacro
NCT00817206,Safety and Efficacy of LCP-Tacro™ Once Daily in Stable Renal Transplant Patients Converted From Prograf® Twice Daily,Renal Failure,Interventional,10-Sep-15,Veloxis Pharmaceuticals,Drug: Prograf
NCT00817206,Safety and Efficacy of LCP-Tacro™ Once Daily in Stable Renal Transplant Patients Converted From Prograf® Twice Daily,Renal Failure,Interventional,10-Sep-15,PPD,Drug: LCP-Tacro
NCT00817206,Safety and Efficacy of LCP-Tacro™ Once Daily in Stable Renal Transplant Patients Converted From Prograf® Twice Daily,Renal Failure,Interventional,10-Sep-15,PPD,Drug: Prograf
NCT00662038,Open-Label Study of the Long Term Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis (IPF),Idiopathic Pulmonary Fibrosis,Interventional,29-Mar-17,"Genentech, Inc.",Drug: pirfenidone
NCT00662038,Open-Label Study of the Long Term Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis (IPF),Idiopathic Pulmonary Fibrosis,Interventional,29-Mar-17,Hoffmann-La Roche,Drug: pirfenidone
NCT00623636,Phase 3 Study of MAP0004 in Adult Migraineurs,Migraine Disorders,Interventional,29-Oct-13,Allergan,Drug: MAP0004
NCT00623636,Phase 3 Study of MAP0004 in Adult Migraineurs,Migraine Disorders,Interventional,29-Oct-13,Allergan,Drug: Placebo
NCT00623636,Phase 3 Study of MAP0004 in Adult Migraineurs,Migraine Disorders,Interventional,29-Oct-13,"MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan",Drug: MAP0004
NCT00623636,Phase 3 Study of MAP0004 in Adult Migraineurs,Migraine Disorders,Interventional,29-Oct-13,"MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan",Drug: Placebo
NCT00566501,Open-Label Extension Study of 23 mg Donepezil SR in Patients With Moderate to Severe Alzheimer's Disease,Alzheimer's Disease,Interventional,19-Jun-12,Eisai Inc.,Drug: 23 mg SR in Study 326
NCT00566501,Open-Label Extension Study of 23 mg Donepezil SR in Patients With Moderate to Severe Alzheimer's Disease,Alzheimer's Disease,Interventional,19-Jun-12,Eisai Inc.,Drug: 10 mg IR in Study 326
NCT00566501,Open-Label Extension Study of 23 mg Donepezil SR in Patients With Moderate to Severe Alzheimer's Disease,Alzheimer's Disease,Interventional,19-Jun-12,Eisai Limited,Drug: 23 mg SR in Study 326
NCT00566501,Open-Label Extension Study of 23 mg Donepezil SR in Patients With Moderate to Severe Alzheimer's Disease,Alzheimer's Disease,Interventional,19-Jun-12,Eisai Limited,Drug: 10 mg IR in Study 326
NCT00478205,Comparison of 23 mg Donepezil Sustained Release (SR) to 10 mg Donepezil Immediate Release (IR) in Patients With Moderate to Severe Alzheimer's Disease,Alzheimer's Disease,Interventional,5-Feb-13,Eisai Inc.,Drug: Aricept (donepezil SR 23 mg)
NCT00478205,Comparison of 23 mg Donepezil Sustained Release (SR) to 10 mg Donepezil Immediate Release (IR) in Patients With Moderate to Severe Alzheimer's Disease,Alzheimer's Disease,Interventional,5-Feb-13,Eisai Inc.,Drug: Aricept (donepezil IR 10 mg)
NCT00478205,Comparison of 23 mg Donepezil Sustained Release (SR) to 10 mg Donepezil Immediate Release (IR) in Patients With Moderate to Severe Alzheimer's Disease,Alzheimer's Disease,Interventional,5-Feb-13,Eisai Limited,Drug: Aricept (donepezil SR 23 mg)
NCT00478205,Comparison of 23 mg Donepezil Sustained Release (SR) to 10 mg Donepezil Immediate Release (IR) in Patients With Moderate to Severe Alzheimer's Disease,Alzheimer's Disease,Interventional,5-Feb-13,Eisai Limited,Drug: Aricept (donepezil IR 10 mg)
NCT00460746,Enfuvirtide/Current Protease Inhibitor Switch to PREZISTA (Darunavir)/Ritonavir + TMC125 in HIV Patients With Enfuvirtide Side Effects.,HIV,Interventional,10-Nov-09,"Tibotec, Inc","Drug: TMC125, Darunavir; Ritonavir"
NCT00460746,Enfuvirtide/Current Protease Inhibitor Switch to PREZISTA (Darunavir)/Ritonavir + TMC125 in HIV Patients With Enfuvirtide Side Effects.,HIV,Interventional,10-Nov-09,"Tibotec Therapeutics, a Division of Ortho Biotech Products, L.P., USA","Drug: TMC125, Darunavir; Ritonavir"
NCT00428584,RNF and Betaseron® Tolerability Study,Relapsing Remitting Multiple Sclerosis (RRMS),Interventional,4-Mar-10,EMD Serono,Drug: New Formulation of rebif - human interferon beta-1a
NCT00428584,RNF and Betaseron® Tolerability Study,Relapsing Remitting Multiple Sclerosis (RRMS),Interventional,4-Mar-10,EMD Serono,Drug: Interferon beta -1b
NCT00428584,RNF and Betaseron® Tolerability Study,Relapsing Remitting Multiple Sclerosis (RRMS),Interventional,4-Mar-10,Pfizer,Drug: New Formulation of rebif - human interferon beta-1a
NCT00428584,RNF and Betaseron® Tolerability Study,Relapsing Remitting Multiple Sclerosis (RRMS),Interventional,4-Mar-10,Pfizer,Drug: Interferon beta -1b
NCT01265394,Positron Emission Tomography (PET) Amyloid Imaging of the Brain in Healthy Young Adult Subjects,Healthy,Interventional,21-Jun-13,GE Healthcare,Drug: [18F] Flutemetamol
NCT01265394,Positron Emission Tomography (PET) Amyloid Imaging of the Brain in Healthy Young Adult Subjects,Healthy,Interventional,21-Jun-13,i3 Statprobe,Drug: [18F] Flutemetamol
NCT01265394,Positron Emission Tomography (PET) Amyloid Imaging of the Brain in Healthy Young Adult Subjects,Healthy,Interventional,21-Jun-13,"Medpace, Inc.",Drug: [18F] Flutemetamol
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Reckitt Benckiser LLC,Drug: Ibuprofen/acetaminophen
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Reckitt Benckiser LLC,Drug: Ibuprofen/acetaminophen (higher dose)
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Reckitt Benckiser LLC,Drug: Nurofen Plus®
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Reckitt Benckiser LLC,Drug: Panadeine® Extra
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Reckitt Benckiser LLC,Drug: Placebo
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Premier Research Group plc,Drug: Ibuprofen/acetaminophen
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Premier Research Group plc,Drug: Ibuprofen/acetaminophen (higher dose)
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Premier Research Group plc,Drug: Nurofen Plus®
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Premier Research Group plc,Drug: Panadeine® Extra
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Premier Research Group plc,Drug: Placebo
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Aptuit Inc.,Drug: Ibuprofen/acetaminophen
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Aptuit Inc.,Drug: Ibuprofen/acetaminophen (higher dose)
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Aptuit Inc.,Drug: Nurofen Plus®
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Aptuit Inc.,Drug: Panadeine® Extra
NCT01229449,Ibuprofen/Acetaminophen Versus Nurofen Plus® and Panadeine® Extra Dental Pain Study,Post-operative Pain,Interventional,17-Sep-18,Aptuit Inc.,Drug: Placebo
NCT00242580,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Macular Degeneration|Choroidal Neovascularization,Interventional,2-May-11,Novartis Pharmaceuticals,Drug: Verteporfin photodynamic therapy
NCT00242580,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Macular Degeneration|Choroidal Neovascularization,Interventional,2-May-11,Novartis Pharmaceuticals,Drug: Pegaptanib
NCT00242580,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Macular Degeneration|Choroidal Neovascularization,Interventional,2-May-11,Novartis Pharmaceuticals,Drug: Triamcinolone acetonide
NCT00242580,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Macular Degeneration|Choroidal Neovascularization,Interventional,2-May-11,QLT Inc.,Drug: Verteporfin photodynamic therapy
NCT00242580,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Macular Degeneration|Choroidal Neovascularization,Interventional,2-May-11,QLT Inc.,Drug: Pegaptanib
NCT00242580,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Macular Degeneration|Choroidal Neovascularization,Interventional,2-May-11,QLT Inc.,Drug: Triamcinolone acetonide
NCT00242580,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Macular Degeneration|Choroidal Neovascularization,Interventional,2-May-11,Novartis,Drug: Verteporfin photodynamic therapy
NCT00242580,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Macular Degeneration|Choroidal Neovascularization,Interventional,2-May-11,Novartis,Drug: Pegaptanib
NCT00242580,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin Therapy Plus Intravitreal Pegaptanib,Macular Degeneration|Choroidal Neovascularization,Interventional,2-May-11,Novartis,Drug: Triamcinolone acetonide
NCT01165554,Positron Emission Tomography (PET) Imaging of Brain Amyloid Compared to Post-Mortem Levels,Brain Fibrillarab Levels,Interventional,4-Dec-13,GE Healthcare,Drug: [18F] Flutemetamol
NCT01165554,Positron Emission Tomography (PET) Imaging of Brain Amyloid Compared to Post-Mortem Levels,Brain Fibrillarab Levels,Interventional,4-Dec-13,i3 Statprobe,Drug: [18F] Flutemetamol
NCT01165554,Positron Emission Tomography (PET) Imaging of Brain Amyloid Compared to Post-Mortem Levels,Brain Fibrillarab Levels,Interventional,4-Dec-13,Covance,Drug: [18F] Flutemetamol
NCT00110396,Rebif New Formulation (RNF) in Relapsing Forms of Multiple Sclerosis,Multiple Sclerosis,Interventional,9-Jul-10,EMD Serono,Biological: Interferon-beta-1a FBS-free/HSA-free
NCT00110396,Rebif New Formulation (RNF) in Relapsing Forms of Multiple Sclerosis,Multiple Sclerosis,Interventional,9-Jul-10,Pfizer,Biological: Interferon-beta-1a FBS-free/HSA-free
NCT00097591,A Comparison of Prasugrel (CS-747) and Clopidogrel in Acute Coronary Syndrome Subjects Who Are to Undergo Percutaneous Coronary Intervention,Coronary Arteriosclerosis|Acute Coronary Syndromes,Interventional,16-Sep-10,Eli Lilly and Company,Drug: Prasugrel
NCT00097591,A Comparison of Prasugrel (CS-747) and Clopidogrel in Acute Coronary Syndrome Subjects Who Are to Undergo Percutaneous Coronary Intervention,Coronary Arteriosclerosis|Acute Coronary Syndromes,Interventional,16-Sep-10,Eli Lilly and Company,Drug: Clopidogrel
NCT00097591,A Comparison of Prasugrel (CS-747) and Clopidogrel in Acute Coronary Syndrome Subjects Who Are to Undergo Percutaneous Coronary Intervention,Coronary Arteriosclerosis|Acute Coronary Syndromes,Interventional,16-Sep-10,"Daiichi Sankyo, Inc.",Drug: Prasugrel
NCT00097591,A Comparison of Prasugrel (CS-747) and Clopidogrel in Acute Coronary Syndrome Subjects Who Are to Undergo Percutaneous Coronary Intervention,Coronary Arteriosclerosis|Acute Coronary Syndromes,Interventional,16-Sep-10,"Daiichi Sankyo, Inc.",Drug: Clopidogrel
NCT02130063,"IDA-01 A Randomised, Open-Label, Comparative Study of Intravenous Iron Isomaltoside 1000 (Monofer®) and Iron Sucrose",Iron Deficiency Anaemia,Interventional,22-May-18,Pharmacosmos A/S,Drug: iron isomaltoside 1000 (Monofer®)
NCT02130063,"IDA-01 A Randomised, Open-Label, Comparative Study of Intravenous Iron Isomaltoside 1000 (Monofer®) and Iron Sucrose",Iron Deficiency Anaemia,Interventional,22-May-18,Pharmacosmos A/S,Drug: iron sucrose (Venofer®)
NCT02130063,"IDA-01 A Randomised, Open-Label, Comparative Study of Intravenous Iron Isomaltoside 1000 (Monofer®) and Iron Sucrose",Iron Deficiency Anaemia,Interventional,22-May-18,BioStata,Drug: iron isomaltoside 1000 (Monofer®)
NCT02130063,"IDA-01 A Randomised, Open-Label, Comparative Study of Intravenous Iron Isomaltoside 1000 (Monofer®) and Iron Sucrose",Iron Deficiency Anaemia,Interventional,22-May-18,BioStata,Drug: iron sucrose (Venofer®)
NCT02130063,"IDA-01 A Randomised, Open-Label, Comparative Study of Intravenous Iron Isomaltoside 1000 (Monofer®) and Iron Sucrose",Iron Deficiency Anaemia,Interventional,22-May-18,"ClinStar, LLC",Drug: iron isomaltoside 1000 (Monofer®)
NCT02130063,"IDA-01 A Randomised, Open-Label, Comparative Study of Intravenous Iron Isomaltoside 1000 (Monofer®) and Iron Sucrose",Iron Deficiency Anaemia,Interventional,22-May-18,"ClinStar, LLC",Drug: iron sucrose (Venofer®)
NCT02130063,"IDA-01 A Randomised, Open-Label, Comparative Study of Intravenous Iron Isomaltoside 1000 (Monofer®) and Iron Sucrose",Iron Deficiency Anaemia,Interventional,22-May-18,LabCorp,Drug: iron isomaltoside 1000 (Monofer®)
NCT02130063,"IDA-01 A Randomised, Open-Label, Comparative Study of Intravenous Iron Isomaltoside 1000 (Monofer®) and Iron Sucrose",Iron Deficiency Anaemia,Interventional,22-May-18,LabCorp,Drug: iron sucrose (Venofer®)
NCT01795547,Aripiprazole Once-monthly Versus Paliperidone Palmitate in Adult Patients With Schizophrenia,Schizophrenia,Interventional,3-Dec-15,H. Lundbeck A/S,Drug: Aripiprazole and aripiprazole once-monthly
NCT01795547,Aripiprazole Once-monthly Versus Paliperidone Palmitate in Adult Patients With Schizophrenia,Schizophrenia,Interventional,3-Dec-15,H. Lundbeck A/S,Drug: Paliperidone and paliperidone palmitate
NCT01795547,Aripiprazole Once-monthly Versus Paliperidone Palmitate in Adult Patients With Schizophrenia,Schizophrenia,Interventional,3-Dec-15,"Otsuka Pharmaceutical Co., Ltd.",Drug: Aripiprazole and aripiprazole once-monthly
NCT01795547,Aripiprazole Once-monthly Versus Paliperidone Palmitate in Adult Patients With Schizophrenia,Schizophrenia,Interventional,3-Dec-15,"Otsuka Pharmaceutical Co., Ltd.",Drug: Paliperidone and paliperidone palmitate
NCT00707057,Ibuprofen Extended-Release Dental Pain Study,Pain|Post-Operative Pain|Third Molar Extraction,Interventional,23-Mar-11,"SCOLR Pharma, Inc.",Drug: Ibuprofen 600 mg Extended-Release Tablets
NCT00707057,Ibuprofen Extended-Release Dental Pain Study,Pain|Post-Operative Pain|Third Molar Extraction,Interventional,23-Mar-11,"SCOLR Pharma, Inc.",Drug: Placebo
NCT00707057,Ibuprofen Extended-Release Dental Pain Study,Pain|Post-Operative Pain|Third Molar Extraction,Interventional,23-Mar-11,AAIPharma,Drug: Ibuprofen 600 mg Extended-Release Tablets
NCT00707057,Ibuprofen Extended-Release Dental Pain Study,Pain|Post-Operative Pain|Third Molar Extraction,Interventional,23-Mar-11,AAIPharma,Drug: Placebo
NCT00707057,Ibuprofen Extended-Release Dental Pain Study,Pain|Post-Operative Pain|Third Molar Extraction,Interventional,23-Mar-11,Jean Brown Research,Drug: Ibuprofen 600 mg Extended-Release Tablets
NCT00707057,Ibuprofen Extended-Release Dental Pain Study,Pain|Post-Operative Pain|Third Molar Extraction,Interventional,23-Mar-11,Jean Brown Research,Drug: Placebo
NCT00105027,The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study,"Macular Edema, Cystoid|Retinal Vein Occlusion",Interventional,19-Jan-11,"The Emmes Company, LLC",Other: Standard Care
NCT00105027,The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study,"Macular Edema, Cystoid|Retinal Vein Occlusion",Interventional,19-Jan-11,"The Emmes Company, LLC",Drug: intravitreal triamcinolone injection
NCT00105027,The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study,"Macular Edema, Cystoid|Retinal Vein Occlusion",Interventional,19-Jan-11,National Eye Institute (NEI),Other: Standard Care
NCT00105027,The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study,"Macular Edema, Cystoid|Retinal Vein Occlusion",Interventional,19-Jan-11,National Eye Institute (NEI),Drug: intravitreal triamcinolone injection
NCT00105027,The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study,"Macular Edema, Cystoid|Retinal Vein Occlusion",Interventional,19-Jan-11,Allergan,Other: Standard Care
NCT00105027,The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study,"Macular Edema, Cystoid|Retinal Vein Occlusion",Interventional,19-Jan-11,Allergan,Drug: intravitreal triamcinolone injection
NCT01844830,"Comparison of Intranasal Kovacaine Mist, and Placebo for Anesthetizing Maxillary Teeth in Pediatric Patients",Anesthesia,Interventional,30-Aug-17,"St. Renatus, LLC",Drug: Tetracaine HCl 3% and Oxymetazoline HCl 0.05%
NCT01844830,"Comparison of Intranasal Kovacaine Mist, and Placebo for Anesthetizing Maxillary Teeth in Pediatric Patients",Anesthesia,Interventional,30-Aug-17,"St. Renatus, LLC",Drug: Placebo
NCT01844830,"Comparison of Intranasal Kovacaine Mist, and Placebo for Anesthetizing Maxillary Teeth in Pediatric Patients",Anesthesia,Interventional,30-Aug-17,Triligent International,Drug: Tetracaine HCl 3% and Oxymetazoline HCl 0.05%
NCT01844830,"Comparison of Intranasal Kovacaine Mist, and Placebo for Anesthetizing Maxillary Teeth in Pediatric Patients",Anesthesia,Interventional,30-Aug-17,Triligent International,Drug: Placebo
NCT01844830,"Comparison of Intranasal Kovacaine Mist, and Placebo for Anesthetizing Maxillary Teeth in Pediatric Patients",Anesthesia,Interventional,30-Aug-17,"Rho, Inc.",Drug: Tetracaine HCl 3% and Oxymetazoline HCl 0.05%
NCT01844830,"Comparison of Intranasal Kovacaine Mist, and Placebo for Anesthetizing Maxillary Teeth in Pediatric Patients",Anesthesia,Interventional,30-Aug-17,"Rho, Inc.",Drug: Placebo
NCT00563368,A Study Comparing Multiple Doses of VI-0521 With Placebo and Their Single-agent Constituents for Treatment of Obesity in Adults,Obesity,Interventional,3-Sep-12,"VIVUS, Inc.",Drug: VI-0521
NCT00563368,A Study Comparing Multiple Doses of VI-0521 With Placebo and Their Single-agent Constituents for Treatment of Obesity in Adults,Obesity,Interventional,3-Sep-12,"VIVUS, Inc.",Drug: topiramate
NCT00563368,A Study Comparing Multiple Doses of VI-0521 With Placebo and Their Single-agent Constituents for Treatment of Obesity in Adults,Obesity,Interventional,3-Sep-12,"VIVUS, Inc.",Drug: phentermine
NCT00563368,A Study Comparing Multiple Doses of VI-0521 With Placebo and Their Single-agent Constituents for Treatment of Obesity in Adults,Obesity,Interventional,3-Sep-12,"Medpace, Inc.",Drug: VI-0521
NCT00563368,A Study Comparing Multiple Doses of VI-0521 With Placebo and Their Single-agent Constituents for Treatment of Obesity in Adults,Obesity,Interventional,3-Sep-12,"Medpace, Inc.",Drug: topiramate
